AAL.UK@ANGLO AMERICAN@1800.00@+3.40@+0.19%@+527.99@+41.51%@8,702,260@17:35
ABF.UK@ASSOCIATED BRITISH FOODS@2655.00@-2.00@-0.08%@+73.64@+2.85%@820,386@17:35
ADM.UK@ADMIRAL GROUP@1919.50@+25.93@+1.37%@+91.86@+5.03%@533,587@17:35
AHT.UK@ASHTEAD GROUP@2050.00@-33.00@-1.58%@+368.42@+21.91%@1,505,198@17:35
ANTO.UK@ANTOFAGASTA@902.20@+0.20@+0.02%@+69.60@+8.36%@3,448,328@17:35
AV.UK@AVIVA@504.20@+1.60@+0.32%@+19.25@+3.97%@11,136,109@17:35
AZN.UK@ASTRAZENECA@4772.00@+18.39@+0.39%@+285.96@+6.37%@2,607,389@17:35
BA.UK@BAE SYSTEMS@585.00@-16.40@-2.73%@+0.18@+0.03%@18,288,254@17:35
BAB.UK@BABCOCK INT GROUP@656.80@+14.80@+2.31%@-200.97@-23.43%@2,267,102@17:35
BARC.UK@BARCLAYS@211.00@+9.58@+4.76%@-21.01@-9.06%@112,495,332@17:35
BATS.UK@BRITISH AMERICAN TOBACCO@4354.50@-95.50@-2.15%@-433.52@-9.05%@9,876,554@17:39
BDEV.UK@BARRATT DEVELOPMENTS@551.80@-12.99@-2.30%@+53.87@+10.82%@6,827,905@17:35
BLND.UK@BRITISH LAND COMPANY@637.80@-1.20@-0.19%@+55.36@+9.50%@3,905,508@17:35
BLT.UK@BHP BILLITON@1521.20@+27.20@+1.82%@+217.22@+16.66%@11,119,005@17:37
BNZL.UK@BUNZL@1990.00@-7.12@-0.36%@-139.46@-6.55%@1,338,728@17:35
BP.UK@BP@473.90@+1.70@+0.36%@+47.24@+11.07%@40,582,100@17:35
BRBY.UK@BURBERRY GROUP@1552.50@-13.00@-0.83%@-64.64@-4.00%@1,399,263@17:35
CCH.UK@COCA-COLA HBC@2452.00@-23.00@-0.93%@+534.32@+27.86%@727,266@17:37
CCL.UK@CARNIVAL@4839.00@-84.00@-1.71%@+662.33@+15.86%@707,472@17:35
CNA.UK@CENTRICA@142.15@+9.95@+7.53%@-77.30@-35.22%@80,923,455@17:37
CPG.UK@COMPASS GROUP@1540.50@-12.50@-0.80%@+156.37@+11.30%@4,219,664@17:35
CRDA.UK@CRODA INT@4538.00@+15.00@+0.33%@+1260.12@+38.44%@346,579@17:35
CRH.UK@CRH@2489.00@-2.00@-0.08%@-240.45@-8.81%@1,148,172@17:35
CTEC.UK@CONVATEC GROUP@211.60@+0.60@+0.28%@-23.37@-9.95%@5,546,934@17:35
DCC.UK@DCC@6660.00@+0.65@+0.01%@-63.05@-0.94%@184,372@17:35
DGE.UK@DIAGEO@2467.50@-26.61@-1.07%@+233.67@+10.46%@5,245,881@17:36
DLG.UK@DIRECT LINE INSURANCE GROUP@390.90@+2.34@+0.60%@+50.56@+14.86%@4,444,734@17:35
EXPN.UK@EXPERIAN@1563.50@-5.77@-0.37%@-6.78@-0.43%@1,749,567@17:35
EZJ.UK@EASYJET@1684.50@-11.50@-0.68%@+764.30@+83.06%@1,501,254@17:36
FRES.UK@FRESNILLO@1326.00@-6.00@-0.45%@-160.17@-10.78%@1,103,435@17:35
GKN.UK@GKN@425.00@+2.70@+0.64%@+85.27@+25.10%@6,382,756@17:35
GLEN.UK@GLENCORE@402.30@-2.25@-0.56%@+81.97@+25.59%@54,587,350@17:38
GSK.UK@GLAXOSMITHKLINE@1303.00@-21.60@-1.63%@-265.95@-16.95%@9,184,583@17:39
HIK.UK@HIKMA PHARMACEUTICALS@898.00@-52.00@-5.47%@-1133.03@-55.79%@804,722@17:35
HL.UK@HARGREAVES LANSDOWN@1733.00@+17.00@+0.99%@+429.47@+32.95%@1,189,059@17:35
HMSO.UK@HAMMERSON@469.80@+2.10@+0.45%@-90.25@-16.11%@5,976,141@17:35
HSBA.UK@HSBC HOLDINGS@728.10@-19.20@-2.57%@+85.74@+13.35%@43,508,711@17:35
IAG.UK@INT CONSOLIDATED AIRLINES GROUP@622.60@+5.80@+0.94%@+133.95@+27.41%@7,518,724@17:35
IHG.UK@INTERCONTINENTAL HOTELS GROUP@4667.00@-19.00@-0.41%@+966.91@+26.13%@818,960@17:35
III.UK@3I GROUP@936.80@+6.60@+0.71%@+249.20@+36.24%@2,900,808@17:39
IMB.UK@IMPERIAL BRANDS@2589.44@-76.56@-2.87%@-1066.60@-29.17%@2,958,713@17:35
INF.UK@INFORMA@687.40@-3.60@-0.52%@+40.31@+6.23%@2,149,912@17:35
INTU.UK@INTU PROPERTIES@215.00@+1.80@+0.84%@-46.14@-17.67%@4,276,309@17:35
ITRK.UK@INTERTEK GROUP@4939.00@-73.00@-1.46%@+1486.64@+43.06%@494,114@17:35
ITV.UK@ITV@170.85@-1.40@-0.81%@-23.90@-12.27%@16,555,497@17:36
JMAT.UK@JOHNSON MATTHEY@3185.00@-25.00@-0.78%@+217.94@+7.35%@393,871@17:35
KGF.UK@KINGFISHER@353.60@-7.00@-1.94%@+37.52@+11.87%@9,963,321@17:35
LAND.UK@LAND SECURITIES GROUP@937.30@+4.20@+0.45%@-84.65@-8.28%@1,986,170@17:35
LGEN.UK@LEGAL & GENERAL GROUP@260.20@-0.40@-0.15%@+28.43@+12.27%@20,106,461@17:35
LLOY.UK@LLOYDS BANKING GROUP@69.18@-0.54@-0.77%@+1.05@+1.54%@240,128,040@17:35
LSE.UK@LONDON STOCK EXCHANGE GROUP@4085.00@+63.86@+1.59%@+1011.18@+32.90%@821,113@17:35
MCRO.UK@MICRO FOCUS INT@2067.00@+2.00@+0.10%@-86.39@-4.01%@1,769,560@17:35
MDC.UK@MEDICLINIC INT@606.00@+7.13@+1.19%@-129.96@-17.66%@1,868,466@17:35
MERL.UK@MERLIN ENTERTAINMENTS@341.20@-7.90@-2.26%@-150.33@-30.58%@4,954,923@17:39
MKS.UK@MARKS & SPENCER GROUP@297.60@-1.00@-0.33%@-12.05@-3.89%@5,981,209@17:35
MNDI.UK@MONDI@1892.50@-34.00@-1.76%@+100.88@+5.63%@1,600,255@17:35
MRW.UK@WM MORRISON SUPERMARKETS@223.10@+0.99@+0.45%@-19.18@-7.92%@11,481,940@17:35
NG.UK@NATIONAL GRID@751.00@+4.40@+0.59%@-180.00@-19.33%@11,711,537@17:36
NXT.UK@NEXT@4950.00@-33.00@-0.66%@+1342.21@+37.20%@462,934@17:35
OML.UK@OLD MUTUAL@252.50@-0.20@-0.08%@+43.34@+20.72%@11,116,592@17:36
PFG.UK@PROVIDENT FINANCIAL@657.00@-13.00@-1.94%@-1961.35@-74.91%@740,744@17:35
PPB.UK@PADDY POWER BETFAIR@8475.00@-25.00@-0.29%@+174.55@+2.10%@289,966@17:35
PRU.UK@PRUDENTIAL@1843.50@-3.88@-0.21%@+261.83@+16.55%@3,406,365@17:35
PSN.UK@PERSIMMON@2456.00@-28.00@-1.13%@+544.83@+28.51%@1,048,769@17:35
PSON.UK@PEARSON@704.80@+3.40@+0.48%@+106.74@+17.85%@5,477,608@17:35
RB.UK@RECKITT BENCKISER GROUP@5869.00@0.00@0.00%@-1204.15@-17.02%@2,269,104@17:35
RBS.UK@ROYAL BANK OF SCOTLAND GROUP@282.00@+4.60@+1.66%@+30.50@+12.13%@24,000,663@17:35
RDSA.UK@ROYAL DUTCH SHELL@2264.00@+6.00@+0.27%@+277.96@+14.00%@7,102,737@17:35
RDSB.UK@ROYAL DUTCH SHELL@2291.50@+8.00@+0.35%@+214.86@+10.35%@5,364,452@17:39
REL.UK@RELX@1518.00@-4.50@-0.30%@+73.10@+5.06%@6,440,480@17:35
RIO.UK@RIO TINTO@4023.00@+7.00@+0.17%@+596.58@+17.41%@4,593,702@17:39
RMG.UK@ROYAL MAIL@562.00@-1.00@-0.18%@+167.23@+42.36%@4,760,381@17:35
RR.UK@ROLLS-ROYCE HOLDINGS@839.60@-4.20@-0.50%@+98.21@+13.25%@3,317,735@17:35
RRS.UK@RANDGOLD RESOURCES@6130.00@-10.06@-0.16%@-1218.09@-16.58%@462,882@17:35
RSA.UK@RSA INSURANCE GROUP@632.60@+19.60@+3.20%@+71.88@+12.82%@7,348,523@17:35
RTO.UK@RENTOKIL INITIAL@293.40@-2.00@-0.68%@+60.56@+26.01%@4,424,122@17:35
SBRY.UK@J SAINSBURY@255.10@-0.20@-0.08%@-1.95@-0.76%@8,460,375@17:35
SDR.UK@SCHRODERS@3455.00@-25.00@-0.72%@+498.55@+16.86%@454,286@17:35
SGE.UK@SAGE GROUP@698.20@-5.96@-0.85%@+69.18@+11.00%@3,232,028@17:35
SHP.UK@SHIRE@3037.00@+45.00@+1.50%@-1792.74@-37.12%@3,666,302@17:39
SKG.UK@SMURFIT KAPPA GROUP@2596.00@-20.00@-0.76%@+496.78@+23.66%@383,869@17:35
SKY.UK@SKY@1098.00@-2.00@-0.18%@+112.27@+11.39%@2,287,047@17:35
SMIN.UK@SMITHS GROUP@1589.50@-13.00@-0.81%@+121.31@+8.26%@973,930@17:35
SMT.UK@SCOTTISH MORTGAGE INVESTMENT TRUST@467.60@-2.20@-0.47%@+114.80@+32.54%@2,186,071@17:35
SN.UK@SMITH & NEPHEW@1270.00@-2.00@-0.16%@+77.64@+6.51%@3,055,140@17:37
SSE.UK@SSE@1236.00@+16.50@+1.35%@-206.37@-14.31%@4,254,848@17:35
STAN.UK@STANDARD CHARTERED@830.00@-1.40@-0.17%@+69.80@+9.18%@6,664,494@17:35
STJ.UK@ST JAMES'S PLACE@1143.50@+4.93@+0.43%@+91.88@+8.74%@1,343,965@17:35
SVT.UK@SEVERN TRENT@1710.00@-4.50@-0.26%@-532.14@-23.73%@1,437,341@17:35
TSCO.UK@TESCO@206.30@-1.00@-0.48%@+13.93@+7.24%@33,378,260@17:35
TUI.UK@TUI@1545.00@-24.05@-1.53%@+419.00@+37.21%@1,718,026@17:35
TW.UK@TAYLOR WIMPEY@190.05@-0.76@-0.40%@+24.61@+14.88%@10,634,167@17:35
ULVR.UK@UNILEVER@3738.50@+8.00@+0.21%@+31.91@+0.86%@3,302,866@17:37
UU.UK@UNITED UTILITIES GROUP@664.00@-0.07@-0.01%@-255.94@-27.82%@2,357,793@17:35
VOD.UK@VODAFONE GROUP@201.85@-0.55@-0.27%@+11.42@+6.00%@66,977,514@17:35
WPG.UK@WORLDPAY GROUP@435.40@0.00@0.00%@+148.20@+51.60%@0@15 sty
WPP.UK@WPP@1361.00@-18.50@-1.34%@-447.69@-24.75%@6,791,860@17:35
WTB.UK@WHITBREAD@3933.00@+4.30@+0.11%@+159.07@+4.21%@557,081@17:35
